assetId,assetTypeId
01FR3RC2BNFY19JMEC4V1X8WX6,01FX34K9DDZXE2TC4XX09HY08Z
01FR3RNKDXFHPYPV1WT5QW8ECK,01FX34K9DDZXE2TC4XX09HY08Z
01FR3SZ5751NYZ3TG2DZF5JKFM,01FX34K9DDZXE2TC4XX09HY08Z
01FR3SZ575NZYSG9H4KM0WCRJJ,01FX34K9DDZXE2TC4XX09HY08Z
01FR3SZ575Z37596VD0GPBZ9T6,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BP46D0YEYWHWSBN8MM,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BP63SHPFN5RY18314W,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BP9SSM3S0J88PYGK1Y,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BPA17WHDHQF51YKMG0,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BPJ9B20GCH9GVXV3R8,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BPRQNJ4MV9TF4NBD6B,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BPWXZ0BBE0TAGQ0B74,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BPYX7Z54P7PZK93DSV,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BQAGZDCZZ4515YW9PR,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T11BQC40XNVRGDCXQCEAM,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T48QP6VDER3D3JV1SV6WX,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T48QP83W71YDX41FKYS31,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T48QQAYBR3KYYQTBB06RC,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T48QQFF3JMPD7AJZ6X1SK,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T48QQPSX0STPB03ST1KCN,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JAB2GDG7C1N51RFX7NX,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JAB5RZC1KMKMB7149RA,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JAB8TDYMFEQ4KX87Z6V,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JABB8YZCDE1QAVGHMDC,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JABGCS2DH0BNQ4C71VP,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JADD412D76VEE3XQW6N,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JADJG9ZBTZCN3S7KN3H,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JADKPWQ7Q8EGNW8YQ50,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JADT4CK1FTDWW32MGWN,01FX34K9DDZXE2TC4XX09HY08Z
01FR3T8JADWFRPEQ7TK3JJ372R,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWN2WT4YA26AXZDQ2EC,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWN4PNM7CWRGHDHX11E,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWN9AD5X87JJRPQV2AS,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNA1MXE9G9M6GWK8H9,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNAXEZBQBQAR2324W3,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNF8NMEA1EC7K7A4G4,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNMQ88JMEG1SFYQAG0,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNNMJHZP31W3XPK6PV,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNPV61TKCRBH8VB3PM,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TEJWNTP0303BNABB4VPXB,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91H7ZGG270ASQKHDK5G,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91HBBH26BW72ZY7CG5F,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91HBPAQ8QDE9M8DRTP1,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91HGNGTS7J680VY8PCB,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91HMZ0WSF03T67S461M,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TJ91HSWZ2VWA63D1P87TG,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB352B0J9R89VS92QW0B,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB355H21MF9C9D20B40N,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB359K2G0YVN3HVVTBS8,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35C9JZPF1WK8GJ7N10,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35F7XV8NWADYG167ZP,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35GAFS46BFGTMD2G0F,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35GZHBWX29DRE1XWGS,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35V62925GNNKR5G2NP,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35YT99MQBHB1AEE5TW,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TQB35ZWVX8STE6NM51E4S,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGSC822F13M43XV148F,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGSECEB3G74WMRMP5P5,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGSJZX3CCCVM4QYDXZ2,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGSSG99WRNE2TS1NVP5,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGSZHJAK8NZD0583E3R,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGT3KPXSC2RJVQAFW0Z,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGT63C9MVX6W726EBRZ,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGT8XY239ZNZD46QETQ,01FX34K9DDZXE2TC4XX09HY08Z
01FR3TWVGTDNWMBHC80TQR3JM8,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWCNKY4GDH3BQB2ZEG,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWFBRNQ3VMX6RFWVGB,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWK89CNWV0RFM3J7A6,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWMD3PFSFKFETEF4J4,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWSSADR50VQSXTRS26,01FX34K9DDZXE2TC4XX09HY08Z
01FR3V1HEWTX4PJ3HQQVJ8J3GJ,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTYV50NP07VDNSMC8YY,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZ3V4Y365KAY1KJE5R,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZAXW2CBSE7VKGZFJW,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZC259EAW3EM52P86V,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZCW721101SSWS4VN5,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZJZSECKT9K7XZ591M,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZKCJSRQ2C89QW95J4,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZQ8G0MK8H1PHVSYZK,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZRVW47S99JT6B9M7K,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VPDTZY2FHVPGA0TT4E0G5,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0C600Z6HZ35CVR7J7C,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0CMRTC2YW1DFHDYX5N,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0D25TB7TFM2ZDS8QSC,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0D5EKMRB9MXT186653,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DE174BTR2YTZRZBJX,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DFZ7DV2CGXSJ33Y4K,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DMQZKM23C6DMXM3QX,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DQSJ13R7K7040HAZW,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DW0BT19Z9X7J230A4,01FX34K9DDZXE2TC4XX09HY08Z
01FR3VWM0DZ2QWGSMR1Z2MYNWN,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HC47DDHYWJZEKGA3XS,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HCH0VFN09R8GNVE00V,01FX34K9DDZXE2TC4XX09HY08Z
