id,createdAt,updatedAt,assetId,color,coverage
01G2YQ9AZR18NX3VAAVP56X1YK,2022-05-13 12:46:21.889939,2022-05-13 12:46:21.889939,01G1189TM0THZXKRFVRHYF8NK0,Navy,0.14875
01G2YQ9AZR9Q03GGPPP0C0Q70K,2022-05-13 12:46:21.891584,2022-05-13 12:46:21.891584,01G1189TM0THZXKRFVRHYF8NK0,Black,0.178906
01G2YQ9AZRGDFX1CQ4VKEVB2GG,2022-05-13 12:46:21.888297,2022-05-13 12:46:21.888297,01G1189TM0THZXKRFVRHYF8NK0,Gray,0.324062
01G2YQ9BA4KVGCEEYTA9YCADFH,2022-05-13 12:46:22.203302,2022-05-13 12:46:22.203302,01G1189TM1P28QMHA9FJW08C0K,Light Gray,0.111875
01G2YQ9BA4M22VP6JY99F31YVF,2022-05-13 12:46:22.199874,2022-05-13 12:46:22.199874,01G1189TM1P28QMHA9FJW08C0K,Green,0.105781
01G2YQ9BA4SJM160BQ5QS2MXBP,2022-05-13 12:46:22.19812,2022-05-13 12:46:22.19812,01G1189TM1P28QMHA9FJW08C0K,White,0.154219
01G2YQ9BA4TQR08QKMS61J7GZV,2022-05-13 12:46:22.201579,2022-05-13 12:46:22.201579,01G1189TM1P28QMHA9FJW08C0K,Gray,0.171406
01G2YQ9BKWAJF6HX7Q3YA8S19Z,2022-05-13 12:46:22.573112,2022-05-13 12:46:22.573112,01G1189TM2CTGM5Z95YTAB2Q6H,Green,0.16
01G2YQ9BKWQASJZSV9C65R7G5J,2022-05-13 12:46:22.57799,2022-05-13 12:46:22.57799,01G1189TM2CTGM5Z95YTAB2Q6H,Black,0.152344
01G2YQ9BKWS2PV83J24BCZKX21,2022-05-13 12:46:22.576361,2022-05-13 12:46:22.576361,01G1189TM2CTGM5Z95YTAB2Q6H,Golden Rod,0.212969
01G2YQ9BKWT72BCR8DB9GFQSVQ,2022-05-13 12:46:22.574918,2022-05-13 12:46:22.574918,01G1189TM2CTGM5Z95YTAB2Q6H,Sienna,0.220313
01G2YQ9C03ANRYSA0C0JDYSRQR,2022-05-13 12:46:22.890292,2022-05-13 12:46:22.890292,01G1189TM3R69QDV494CXM1MDH,Green,0.116094
01G2YQ9C03EZ3DG8JBKFTERA9E,2022-05-13 12:46:22.894992,2022-05-13 12:46:22.894992,01G1189TM3R69QDV494CXM1MDH,Gray,0.379844
01G2YQ9C03GGS47EQDQWBWAN40,2022-05-13 12:46:22.899195,2022-05-13 12:46:22.899195,01G1189TM3R69QDV494CXM1MDH,Light Gray,0.195625
01G2YQ9C7T7KECZ10G9RDMZAR8,2022-05-13 12:46:23.21366,2022-05-13 12:46:23.21366,01G1189TM0WAPSAW02BHA4BTP7,Green,0.1625
01G2YQ9C7TJGJS1ZR9KRRR48D9,2022-05-13 12:46:23.217804,2022-05-13 12:46:23.217804,01G1189TM0WAPSAW02BHA4BTP7,Khaki,0.125938
01G2YQ9C7TT7878CEHXESXB6X2,2022-05-13 12:46:23.215741,2022-05-13 12:46:23.215741,01G1189TM0WAPSAW02BHA4BTP7,Sienna,0.165469
01G2YQ9C7TXSMPY9V39RFH4WHY,2022-05-13 12:46:23.219438,2022-05-13 12:46:23.219438,01G1189TM0WAPSAW02BHA4BTP7,Black,0.140156
01G2YQ9C8X095CG0JHE89GPFEV,2022-05-13 12:46:23.209329,2022-05-13 12:46:23.209329,01G1189TM4SDEDA85N9EP1NMN1,Golden Rod,0.114375
01G2YQ9C8X1KHAE53FVH3B457D,2022-05-13 12:46:23.207788,2022-05-13 12:46:23.207788,01G1189TM4SDEDA85N9EP1NMN1,Sienna,0.157656
01G2YQ9C8X5WG73GCTHF7KMG44,2022-05-13 12:46:23.217419,2022-05-13 12:46:23.217419,01G1189TM4SDEDA85N9EP1NMN1,Rosy Brown,0.197031
01G2YQ9C8XCH525HM3X4J012BC,2022-05-13 12:46:23.211595,2022-05-13 12:46:23.211595,01G1189TM4SDEDA85N9EP1NMN1,Gray,0.109375
01G2YQ9C8XKAQ6Y03BH27EH93B,2022-05-13 12:46:23.215533,2022-05-13 12:46:23.215533,01G1189TM4SDEDA85N9EP1NMN1,Bordeaux/ Fire Brick,0.113438
